SNO,Date,Time,MQ138,Voltage_V
396,26-09-2025,14:45:53:087285,2474,4.01
397,26-09-2025,14:45:56:369285,2470,4.09
398,26-09-2025,14:45:59:232285,2468,4.01
399,26-09-2025,14:46:02:516285,2514,4
400,26-09-2025,14:46:06:606284,2480,4.01
401,26-09-2025,14:46:11:723285,2512,4
402,26-09-2025,14:46:15:618285,2511,4
403,26-09-2025,14:46:18:683285,2511,4.01
404,26-09-2025,14:46:21:965285,2470,4.03
405,26-09-2025,14:46:25:444284,2509,4
406,26-09-2025,14:46:28:514285,2473,4.08
407,26-09-2025,14:46:31:581285,2512,3.99
408,26-09-2025,14:46:34:859285,2479,4.01
409,26-09-2025,14:46:38:351285,2511,3.9
410,26-09-2025,14:46:41:626285,2511,4.03
411,26-09-2025,14:46:44:896300,2506,4.01
412,26-09-2025,14:46:47:769284,2479,4.03
413,26-09-2025,14:46:51:451285,2507,4.01
414,26-09-2025,14:46:54:525284,2476,4
415,26-09-2025,14:46:58:028285,2509,4.03
416,26-09-2025,14:47:01:727284,2471,4.04
417,26-09-2025,14:47:04:762308,2476,4.02
418,26-09-2025,14:47:07:633285,2512,4.04
419,26-09-2025,14:47:10:507285,2509,4.01
420,26-09-2025,14:47:13:571285,2475,4.06
421,26-09-2025,14:47:17:050285,2471,4.02
422,26-09-2025,14:47:21:051284,2507,4.01
423,26-09-2025,14:47:24:227285,2509,4
424,26-09-2025,14:47:28:115284,2473,4.05
425,26-09-2025,14:47:32:424285,2511,4.01
426,26-09-2025,14:47:35:689285,2474,4.05
427,26-09-2025,14:47:38:757285,2475,4.04
428,26-09-2025,14:47:41:839285,2473,4
429,26-09-2025,14:47:45:770285,2512,4.01
430,26-09-2025,14:47:48:595284,2513,4.03
431,26-09-2025,14:47:51:876285,2510,4
432,26-09-2025,14:47:54:740285,2479,4.04
433,26-09-2025,14:47:58:012285,2512,4
434,26-09-2025,14:48:02:112285,2475,4
435,26-09-2025,14:48:05:594330,2455,4
436,26-09-2025,14:48:09:487285,2463,4.01
437,26-09-2025,14:48:12:550285,2474,4.03
438,26-09-2025,14:48:15:736285,2509,4.04
439,26-09-2025,14:48:18:902285,2477,3.98
440,26-09-2025,14:48:21:980285,2509,4
441,26-09-2025,14:48:25:862285,2477,4.05
442,26-09-2025,14:48:28:943285,2512,4.01
443,26-09-2025,14:48:32:216285,2509,4
444,26-09-2025,14:48:35:695284,2512,4.09
445,26-09-2025,14:48:39:178285,2510,4.01
446,26-09-2025,14:48:42:458285,2477,4.01
447,26-09-2025,14:48:46:342285,2509,4.01
448,26-09-2025,14:48:49:628285,2468,4.01
