SNO,Date,Time,SGP40,Voltage_V
450,25-09-2025,10:36:04:226651,31559,2.66
451,25-09-2025,10:36:07:304651,31558,2.67
452,25-09-2025,10:36:12:824651,31552,2.66
453,25-09-2025,10:36:17:748651,31552,2.67
454,25-09-2025,10:36:22:458651,31553,2.66
455,25-09-2025,10:36:25:566690,31555,2.66
456,25-09-2025,10:36:28:605651,31550,2.66
457,25-09-2025,10:36:33:306651,31548,2.66
458,25-09-2025,10:36:38:764660,31547,2.66
459,25-09-2025,10:37:02:191654,31552,2.61
460,25-09-2025,10:37:08:205651,31557,2.67
461,25-09-2025,10:37:18:642651,31558,2.66
462,25-09-2025,10:37:23:256651,31558,2.67
463,25-09-2025,10:37:27:999651,31563,2.67
464,25-09-2025,10:37:32:411651,31573,2.66
465,25-09-2025,10:37:37:104694,31577,2.66
466,25-09-2025,10:37:42:308653,31583,2.67
467,25-09-2025,10:37:47:512653,31579,2.66
468,25-09-2025,10:38:00:353654,31559,2.67
469,25-09-2025,10:38:05:557653,31556,2.67
470,25-09-2025,10:38:16:040656,31555,2.66
471,25-09-2025,10:38:19:719651,31558,2.66
472,25-09-2025,10:38:24:168651,31555,2.66
473,25-09-2025,10:38:29:731651,31548,2.66
474,25-09-2025,10:38:34:766651,31551,2.66
475,25-09-2025,10:38:39:274651,31553,2.66
476,25-09-2025,10:38:42:962651,31543,2.67
477,25-09-2025,10:38:47:664651,31548,2.66
478,25-09-2025,10:38:52:543774,31537,2.68
479,25-09-2025,10:38:55:414719,31532,2.66
480,25-09-2025,10:39:01:850690,31527,2.66
481,25-09-2025,10:39:07:925688,31515,2.69
482,25-09-2025,10:39:13:228772,31510,2.68
483,25-09-2025,10:39:17:942691,31506,2.67
484,25-09-2025,10:39:21:690691,31510,2.66
485,25-09-2025,10:39:27:413691,31510,2.66
486,25-09-2025,10:39:32:589694,31501,2.67
487,25-09-2025,10:39:37:903691,31485,2.66
488,25-09-2025,10:39:43:269652,31481,2.66
489,25-09-2025,10:39:48:250691,31479,2.67
490,25-09-2025,10:39:52:140690,31472,2.68
491,25-09-2025,10:39:56:230690,31467,2.68
492,25-09-2025,10:39:59:331690,31462,2.68
493,25-09-2025,10:40:05:494690,31462,2.67
494,25-09-2025,10:40:10:980724,31449,2.67
495,25-09-2025,10:40:14:048690,31450,2.67
496,25-09-2025,10:40:19:685690,31454,2.67
497,25-09-2025,10:40:25:954690,31454,2.68
498,25-09-2025,10:40:31:060690,31453,2.67
499,25-09-2025,10:40:35:987702,31454,2.68
500,25-09-2025,10:40:39:661719,31449,2.69
501,25-09-2025,10:40:46:484651,31444,2.66
502,25-09-2025,10:40:50:920692,31449,2.67
503,25-09-2025,10:40:55:220687,31449,2.67
504,25-09-2025,10:40:58:286689,31454,2.66
505,25-09-2025,10:41:01:563691,31454,2.69
506,25-09-2025,10:41:04:454691,31453,2.67
507,25-09-2025,10:41:08:159691,31449,2.66
508,25-09-2025,10:41:11:607691,31454,2.68
509,25-09-2025,10:41:15:813691,31449,2.66
510,25-09-2025,10:41:19:588690,31444,2.69
511,25-09-2025,10:41:23:483690,31443,2.67
512,25-09-2025,10:41:26:874691,31429,2.68
513,25-09-2025,10:41:34:230691,31426,2.66
514,25-09-2025,10:41:40:209692,31421,2.67
515,25-09-2025,10:41:44:160651,31406,2.67
516,25-09-2025,10:41:47:249692,31403,2.68
517,25-09-2025,10:41:49:903818,31402,2.69
518,25-09-2025,10:41:52:975792,31405,2.67
519,25-09-2025,10:41:55:631691,31401,2.67
520,25-09-2025,10:41:58:298690,31402,2.67
521,25-09-2025,10:42:01:609691,31401,2.66
522,25-09-2025,10:42:04:851691,31396,2.68
523,25-09-2025,10:42:07:925691,31392,2.68
524,25-09-2025,10:42:10:829691,31402,2.66
525,25-09-2025,10:42:13:870691,31406,2.67
526,25-09-2025,10:42:16:936691,31408,2.67
527,25-09-2025,10:42:20:011691,31406,2.66
528,25-09-2025,10:42:23:288691,31402,2.68
529,25-09-2025,10:42:26:153691,31401,2.68
530,25-09-2025,10:42:29:262690,31401,2.66
531,25-09-2025,10:42:33:773694,31396,2.67
532,25-09-2025,10:42:37:047691,31392,2.67
533,25-09-2025,10:42:40:647651,31377,2.66
534,25-09-2025,10:42:44:176692,31374,2.66
535,25-09-2025,10:42:47:661818,31374,2.68
536,25-09-2025,10:42:51:551688,31358,2.67
537,25-09-2025,10:42:55:131800,31350,2.67
538,25-09-2025,10:42:58:507691,31346,2.67
539,25-09-2025,10:43:01:376691,31344,2.67
540,25-09-2025,10:43:05:471690,31344,2.66
541,25-09-2025,10:43:09:491691,31343,2.66
542,25-09-2025,10:43:12:545691,31353,2.66
543,25-09-2025,10:43:14:896691,31358,2.67
544,25-09-2025,10:43:17:767715,31359,2.68
545,25-09-2025,10:43:21:658691,31368,2.67
546,25-09-2025,10:43:25:752691,31379,2.67
547,25-09-2025,10:43:29:084691,31390,2.66
548,25-09-2025,10:43:32:212692,31395,2.67
549,25-09-2025,10:43:36:601691,31400,2.67
550,25-09-2025,10:43:39:476690,31407,2.67
551,25-09-2025,10:43:42:165651,31431,2.66
552,25-09-2025,10:43:45:655691,31441,2.66
553,25-09-2025,10:43:50:119691,31460,2.66
554,25-09-2025,10:43:53:813691,31470,2.66
555,25-09-2025,10:43:57:007691,31473,2.68
