SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
300,13-08-2025,11:38:15:591474,322,20.91,40.92,63808
301,13-08-2025,11:38:17:015474,322,20.92,40.94,63760
302,13-08-2025,11:38:18:233474,322,20.94,40.98,64000
303,13-08-2025,11:38:19:801474,322,20.93,41,63382
304,13-08-2025,11:38:21:130474,322,20.95,41.01,63713
305,13-08-2025,11:38:22:327474,322,20.97,41.02,63904
306,13-08-2025,11:38:23:761474,322,20.97,41.01,63570
307,13-08-2025,11:38:25:214474,322,20.98,41.02,63760
308,13-08-2025,11:38:26:637474,322,20.98,41.05,63429
309,13-08-2025,11:38:28:077474,322,20.99,41.04,63382
310,13-08-2025,11:38:29:708473,322,20.99,41.08,62271
311,13-08-2025,11:38:31:163474,322,20.99,41.17,62500
312,13-08-2025,11:38:32:577474,322,21,41.24,62454
313,13-08-2025,11:38:33:838474,322,21.02,41.33,62637
314,13-08-2025,11:38:35:232474,322,21.03,41.41,62914
315,13-08-2025,11:38:36:897473,322,21.03,41.55,62000
316,13-08-2025,11:38:40:394474,322,21.01,41.86,57761
317,13-08-2025,11:38:41:783474,322,21.02,41.98,57879
318,13-08-2025,11:38:43:013474,322,21.05,42.04,58715
319,13-08-2025,11:38:44:451474,322,21.07,42.09,58999
320,13-08-2025,11:38:45:882474,322,21.08,42.11,59163
321,13-08-2025,11:38:47:338474,322,21.09,42.15,59369
322,13-08-2025,11:38:48:747473,322,21.1,42.17,59576
323,13-08-2025,11:38:50:008474,322,21.12,42.19,60334
324,13-08-2025,11:38:51:410474,322,21.13,42.18,60505
325,13-08-2025,11:38:52:844474,322,21.14,42.16,60591
326,13-08-2025,11:38:54:277474,322,21.15,42.17,60292
327,13-08-2025,11:38:55:711489,322,21.16,42.18,60505
328,13-08-2025,11:38:57:168474,322,21.16,42.19,60462
329,13-08-2025,11:38:58:378474,322,21.19,42.22,60937
330,13-08-2025,11:38:59:820474,322,21.2,42.3,60807
331,13-08-2025,11:39:01:037473,322,21.22,42.4,61112
332,13-08-2025,11:39:02:706474,322,21.21,42.53,60548
333,13-08-2025,11:39:03:902474,322,21.23,42.64,60937
334,13-08-2025,11:39:05:337474,322,21.24,42.72,60548
335,13-08-2025,11:39:06:773474,322,21.25,42.8,60591
336,13-08-2025,11:39:08:213474,322,21.25,42.9,60505
337,13-08-2025,11:39:09:656474,322,21.26,43.01,60505
338,13-08-2025,11:39:10:870474,322,21.27,43.1,60591
339,13-08-2025,11:39:12:299474,322,21.28,43.17,60591
340,13-08-2025,11:39:14:156474,322,21.27,43.24,59451
341,13-08-2025,11:39:15:596474,322,21.27,43.29,59286
342,13-08-2025,11:39:19:467474,322,21.25,43.53,54864
343,13-08-2025,11:39:20:735474,322,21.26,43.58,55184
344,13-08-2025,11:39:22:129474,322,21.28,43.56,55724
345,13-08-2025,11:39:23:562474,322,21.29,43.53,56276
346,13-08-2025,11:39:24:996474,322,21.31,43.52,56649
347,13-08-2025,11:39:26:236474,322,21.33,43.55,57257
348,13-08-2025,11:39:27:679474,322,21.34,43.63,57566
349,13-08-2025,11:39:29:116474,322,21.35,43.76,57566
350,13-08-2025,11:39:30:560474,322,21.36,43.86,58115
351,13-08-2025,11:39:31:961474,322,21.37,43.92,57722
352,13-08-2025,11:39:33:188474,322,21.4,43.95,58314
353,13-08-2025,11:39:35:647477,322,21.38,43.99,56387
354,13-08-2025,11:39:37:489474,322,21.37,44.12,55579
355,13-08-2025,11:39:38:719474,322,21.39,44.17,56091
356,13-08-2025,11:39:40:161474,322,21.4,44.19,56537
357,13-08-2025,11:39:41:585474,322,21.42,44.19,56649
358,13-08-2025,11:39:43:019498,322,21.43,44.18,56762
359,13-08-2025,11:39:44:452474,322,21.44,44.22,57181
360,13-08-2025,11:39:45:888474,322,21.45,44.24,56800
361,13-08-2025,11:39:47:146474,322,21.48,44.31,57879
362,13-08-2025,11:39:48:548474,322,21.49,44.34,57997
363,13-08-2025,11:39:49:982474,322,21.5,44.39,57528
364,13-08-2025,11:39:51:418474,322,21.51,44.44,57761
365,13-08-2025,11:39:52:853474,322,21.52,44.48,57800
366,13-08-2025,11:39:54:282474,322,21.53,44.56,57918
367,13-08-2025,11:39:55:534474,322,21.55,44.62,58155
368,13-08-2025,11:39:56:957474,322,21.56,44.68,57761
369,13-08-2025,11:39:59:037474,322,21.55,44.86,56201
370,13-08-2025,11:40:00:651473,322,21.56,45.01,56017
371,13-08-2025,11:40:02:065474,322,21.57,45.13,56387
372,13-08-2025,11:40:03:499474,322,21.59,45.2,56313
373,13-08-2025,11:40:04:937474,322,21.6,45.25,56499
374,13-08-2025,11:40:06:367473,322,21.61,45.31,56054
375,13-08-2025,11:40:08:823474,322,21.59,45.36,54134
376,13-08-2025,11:40:10:052474,322,21.61,45.43,55041
377,13-08-2025,11:40:11:486474,322,21.63,45.4,55113
378,13-08-2025,11:40:12:740474,322,21.65,45.4,55980
379,13-08-2025,11:40:14:181474,322,21.66,45.38,56128
380,13-08-2025,11:40:15:582474,322,21.67,45.34,56054
381,13-08-2025,11:40:17:015474,322,21.68,45.34,55797
382,13-08-2025,11:40:18:450474,322,21.69,45.34,56128
383,13-08-2025,11:40:19:882474,322,21.7,45.33,56276
384,13-08-2025,11:40:21:316474,322,21.71,45.37,56276
385,13-08-2025,11:40:22:753474,322,21.72,45.43,56128
386,13-08-2025,11:40:24:215474,322,21.73,45.51,55944
387,13-08-2025,11:40:25:434474,322,21.74,45.62,56687
388,13-08-2025,11:40:26:846474,322,21.75,45.68,56499
389,13-08-2025,11:40:28:282473,322,21.76,45.76,56612
390,13-08-2025,11:40:29:713473,322,21.76,45.82,56499
391,13-08-2025,11:40:30:963474,322,21.78,45.87,56649
392,13-08-2025,11:40:32:402474,322,21.78,45.91,56424
393,13-08-2025,11:40:33:608474,322,21.8,45.93,57028
394,13-08-2025,11:40:35:060474,322,21.81,45.94,56914
395,13-08-2025,11:40:36:471548,322,21.81,45.93,57066
396,13-08-2025,11:40:37:715474,322,21.82,45.91,57334
397,13-08-2025,11:40:39:141474,322,21.83,45.89,56952
398,13-08-2025,11:40:40:574473,322,21.83,45.88,56800
399,13-08-2025,11:40:42:001474,322,21.83,45.89,57142
400,13-08-2025,11:40:43:253474,322,21.84,45.9,57296
401,13-08-2025,11:40:44:462474,322,21.86,45.92,57489
402,13-08-2025,11:40:45:893474,322,21.85,45.94,57257
403,13-08-2025,11:40:47:347474,322,21.85,45.98,57104
404,13-08-2025,11:40:48:556474,322,21.86,45.99,57489
405,13-08-2025,11:40:49:988481,322,21.85,46,57104
406,13-08-2025,11:40:51:422474,322,21.85,46.01,57296
407,13-08-2025,11:40:52:856474,322,21.84,46.03,57181
408,13-08-2025,11:40:54:103474,322,21.85,46.06,57257
409,13-08-2025,11:40:55:539474,322,21.85,46.05,56990
410,13-08-2025,11:40:56:984474,322,21.85,46.06,57028
411,13-08-2025,11:40:58:417474,322,21.84,46.06,56574
412,13-08-2025,11:40:59:858473,322,21.84,46.06,56876
413,13-08-2025,11:41:01:254474,322,21.83,46.07,56725
414,13-08-2025,11:41:02:689474,322,21.83,46.07,56687
415,13-08-2025,11:41:03:915474,322,21.84,46.04,56914
416,13-08-2025,11:41:05:380474,322,21.84,46.03,56574
417,13-08-2025,11:41:06:579474,322,21.85,46.01,57489
418,13-08-2025,11:41:08:014474,322,21.84,46,57066
419,13-08-2025,11:41:09:460474,322,21.84,45.98,56990
420,13-08-2025,11:41:10:879474,322,21.83,45.95,56725
421,13-08-2025,11:41:12:315474,322,21.82,45.93,56990
422,13-08-2025,11:41:13:565474,322,21.83,45.92,57104
423,13-08-2025,11:41:15:005473,322,21.83,45.87,57028
424,13-08-2025,11:41:16:409474,322,21.82,45.86,57066
425,13-08-2025,11:41:17:842474,322,21.82,45.87,56914
426,13-08-2025,11:41:19:274474,322,21.81,45.85,56725
427,13-08-2025,11:41:20:505474,322,21.83,45.85,57181
428,13-08-2025,11:41:21:937474,322,21.82,45.82,57066
429,13-08-2025,11:41:23:407474,322,21.82,45.81,56876
430,13-08-2025,11:41:24:627474,322,21.83,45.81,57411
