SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_Gas(kOhm),SGP40_VOC,Activated,Concentration,Distance
172,28-07-2025,21:53:00:782524,Puff,322,123,4095,30.11,62.39,93.81,30858,YES,N/A,0
173,28-07-2025,21:53:02:588528,Puff,322,80,4095,30.1,62.44,94.38,30861,YES,N/A,0
174,28-07-2025,21:53:04:394525,Puff,322,119,4095,30.1,62.46,94.12,30865,YES,N/A,0
175,28-07-2025,21:53:06:200528,Puff,322,118,4095,30.09,62.46,94.22,30860,YES,N/A,0
176,28-07-2025,21:53:08:006524,Puff,322,118,4095,30.08,62.46,94.17,30865,YES,N/A,0
177,28-07-2025,21:53:09:812528,Puff,322,132,4095,30.08,62.48,94.22,30862,YES,N/A,0
178,28-07-2025,21:53:11:618525,Puff,322,123,4095,30.07,62.46,94.27,30867,YES,N/A,0
179,28-07-2025,21:53:13:424528,Puff,322,119,4095,30.06,62.46,94.59,30865,YES,N/A,0
180,28-07-2025,21:53:15:231555,Puff,322,123,4095,30.05,62.47,94.22,30868,YES,N/A,0
181,28-07-2025,21:53:17:039528,Puff,322,79,4095,30.05,62.58,94.64,30868,YES,N/A,0
182,28-07-2025,21:53:18:845525,Puff,322,115,4095,30.06,62.71,92.12,30852,YES,N/A,0
183,28-07-2025,21:53:20:651528,Puff,322,128,4095,30.06,62.7,93.91,30851,YES,N/A,0
184,28-07-2025,21:53:22:457525,Puff,322,116,4095,30.06,62.67,94.07,30853,YES,N/A,0
185,28-07-2025,21:53:24:263528,Puff,322,115,4095,30.07,62.71,94.07,30855,YES,N/A,0
186,28-07-2025,21:53:26:069525,Puff,322,80,4095,30.08,62.75,93.91,30855,YES,N/A,0
187,28-07-2025,21:53:27:875528,Puff,322,113,4095,30.08,62.74,93.91,30849,YES,N/A,0
188,28-07-2025,21:53:29:681525,Puff,322,119,4095,30.09,62.77,92.12,30847,YES,N/A,0
189,28-07-2025,21:53:31:487528,Puff,322,114,4095,30.1,62.77,93.86,30848,YES,N/A,0
190,28-07-2025,21:53:33:293525,Puff,322,85,4095,30.11,62.74,94.12,30851,YES,N/A,0
191,28-07-2025,21:53:35:099528,Puff,322,75,4095,30.12,62.67,94.32,30854,YES,N/A,0
192,28-07-2025,21:53:36:905525,Puff,322,123,4095,30.12,62.61,94.01,30856,YES,N/A,0
193,28-07-2025,21:53:38:711528,Puff,322,114,4095,30.12,62.54,94.38,30854,YES,N/A,0
194,28-07-2025,21:53:40:517525,Puff,322,96,4095,30.12,62.5,94.9,30857,YES,N/A,0
195,28-07-2025,21:53:42:323528,Puff,322,77,4095,30.13,62.49,94.48,30862,YES,N/A,0
196,28-07-2025,21:53:44:129525,Puff,322,121,4095,30.13,62.48,94.22,30860,YES,N/A,0
197,28-07-2025,21:53:45:935528,Puff,322,119,4095,30.13,62.5,94.22,30861,YES,N/A,0
198,28-07-2025,21:53:47:741525,Puff,322,122,4095,30.13,62.51,94.32,30856,YES,N/A,0
199,28-07-2025,21:53:49:547528,Puff,322,79,4095,30.13,62.51,94.59,30863,YES,N/A,0
200,28-07-2025,21:53:51:353525,Puff,322,121,4095,30.13,62.48,94.32,30860,YES,N/A,0
201,28-07-2025,21:53:53:159528,Puff,322,116,4095,30.13,62.45,94.53,30859,YES,N/A,0
202,28-07-2025,21:53:54:965525,Puff,322,117,4095,30.13,62.45,94.38,30860,YES,N/A,0
203,28-07-2025,21:53:56:771528,Puff,322,119,4095,30.12,62.44,94.38,30862,YES,N/A,0
204,28-07-2025,21:53:58:578525,Puff,322,79,4095,30.12,62.45,94.69,30866,YES,N/A,0
205,28-07-2025,21:54:00:384528,Puff,322,78,4095,30.11,62.45,94.38,30864,YES,N/A,0
206,28-07-2025,21:54:02:190525,Puff,322,125,4095,30.11,62.42,94.64,30866,YES,N/A,0
207,28-07-2025,21:54:03:996528,Puff,322,123,4095,30.11,62.41,94.64,30868,YES,N/A,0
208,28-07-2025,21:54:05:802524,Puff,322,123,4095,30.1,62.4,95.22,30868,YES,N/A,0
209,28-07-2025,21:54:07:608528,Puff,322,80,4095,30.09,62.39,94.59,30869,YES,N/A,0
210,28-07-2025,21:54:09:414524,Puff,322,120,4095,30.08,62.38,94.69,30867,YES,N/A,0
211,28-07-2025,21:54:11:220528,Puff,322,119,4095,30.08,62.4,94.59,30870,YES,N/A,0
212,28-07-2025,21:54:13:026525,Puff,322,115,4095,30.07,62.42,94.8,30868,YES,N/A,0
213,28-07-2025,21:54:14:832528,Puff,322,78,4095,30.07,62.44,94.64,30868,YES,N/A,0
214,28-07-2025,21:54:16:638525,Puff,322,117,4095,30.06,62.48,94.95,30865,YES,N/A,0
